Metro Area,Tract,Population,Land Area
Abbotsford - Mission,9320001.00,3100.0,26.37
Abbotsford - Mission,9320002.00,1226.0,8.8
Abbotsford - Mission,9320003.00,7963.0,2.17
Abbotsford - Mission,9320004.00,7591.0,1.9
Abbotsford - Mission,9320005.01,4019.0,1.26
Abbotsford - Mission,9320005.02,7528.0,1.65
Abbotsford - Mission,9320006.00,7354.0,2.22
Abbotsford - Mission,9320007.01,4143.0,0.68
Abbotsford - Mission,9320007.02,5731.0,0.87
Abbotsford - Mission,9320008.03,6406.0,2.35
Abbotsford - Mission,9320008.04,6748.0,1.99
Abbotsford - Mission,9320008.05,4818.0,1.07
Abbotsford - Mission,9320008.06,3466.0,0.9
Abbotsford - Mission,9320009.01,7146.0,2.48
Abbotsford - Mission,9320009.02,5932.0,4.57
Abbotsford - Mission,9320010.00,38.0,1.45
Abbotsford - Mission,9320011.00,7362.0,4.78
Abbotsford - Mission,9320012.01,5637.0,2.26
Abbotsford - Mission,9320012.02,4489.0,2.72
Abbotsford - Mission,9320013.01,119.0,1.36
Abbotsford - Mission,9320013.02,3518.0,55.94
Abbotsford - Mission,9320014.01,6771.0,83.03
Abbotsford - Mission,9320014.02,5135.0,15.09
Abbotsford - Mission,9320100.00,3403.0,95.19
Abbotsford - Mission,9320101.00,2879.0,7.91
Abbotsford - Mission,9320102.00,5388.0,1.32
Abbotsford - Mission,9320103.00,1988.0,0.86
Abbotsford - Mission,9320104.00,5341.0,2.23
Abbotsford - Mission,9320105.00,4527.0,2.3
Abbotsford - Mission,9320106.03,232.0,2.56
Abbotsford - Mission,9320106.04,4704.0,2.86
Abbotsford - Mission,9320106.05,4189.0,2.13
Abbotsford - Mission,9320106.06,4984.0,36.0
Abbotsford - Mission,9320200.00,3919.0,4.02
Abbotsford - Mission,9320201.01,4823.0,1.82
Abbotsford - Mission,9320201.02,4462.0,1.45
Abbotsford - Mission,9320202.00,7926.0,3.02
Abbotsford - Mission,9320203.00,3070.0,6.25
Abbotsford - Mission,9320204.00,3787.0,7.07
Abbotsford - Mission,9320205.00,8648.0,15.29
Abbotsford - Mission,9320206.01,2830.0,162.85
Abbotsford - Mission,9320206.02,332.0,0.48
Abbotsford - Mission,9320207.00,2054.0,25.22
Barrie,5680001.01,8090.0,3.86
Barrie,5680001.02,6102.0,2.62
Barrie,5680001.04,6207.0,3.09
Barrie,5680001.05,4966.0,1.27
Barrie,5680001.06,841.0,1.61
Barrie,5680001.07,8198.0,2.16
Barrie,5680002.00,1329.0,7.93
Barrie,5680003.00,2367.0,5.87
Barrie,5680004.01,4780.0,1.69
Barrie,5680004.03,3670.0,1.58
Barrie,5680004.04,5973.0,2.36
Barrie,5680004.05,6371.0,4.85
Barrie,5680004.06,6283.0,3.4
Barrie,5680004.07,3610.0,0.9
Barrie,5680005.00,7036.0,3.53
Barrie,5680006.00,4166.0,1.5
Barrie,5680007.00,3665.0,2.71
Barrie,5680008.00,5945.0,5.39
Barrie,5680009.00,6070.0,1.84
Barrie,5680010.00,4222.0,1.16
Barrie,5680011.01,7479.0,2.49
Barrie,5680011.02,2310.0,1.69
Barrie,5680012.01,3132.0,1.2
Barrie,5680012.02,6003.0,1.82
Barrie,5680013.00,6714.0,2.28
Barrie,5680014.00,5064.0,2.1
Barrie,5680015.01,4098.0,1.68
Barrie,5680015.02,2455.0,0.79
Barrie,5680015.03,3896.0,1.07
Barrie,5680016.00,5558.0,2.97
