Planning Area,Subzone,Age Group,Floor Area,Population,
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Total*,"4,940",
Ang Mo Kio,Cheng San,Total,Total*,"27,350",
Ang Mo Kio,Chong Boon,Total,Total*,"25,770",
Ang Mo Kio,Kebun Bahru,Total,Total*,"22,180",
Ang Mo Kio,Sembawang Hills,Total,Total*,"6,790",
Ang Mo Kio,Shangri-La,Total,Total*,"17,390",
Ang Mo Kio,Tagore,Total,Total*,"7,960",
Ang Mo Kio,Townsville,Total,Total*,"20,310",
Ang Mo Kio,Yio Chu Kang,Total,Total*,10,
Ang Mo Kio,Yio Chu Kang East,Total,Total*,"4,330",
Ang Mo Kio,Yio Chu Kang North,Total,Total*,-,
Ang Mo Kio,Yio Chu Kang West,Total,Total*,"23,990",
Bedok,Bayshore,Total,Total*,"7,730",
Bedok,Bedok North,Total,Total*,"82,430",
Bedok,Bedok Reservoir,Total,Total*,"25,290",
Bedok,Bedok South,Total,Total*,"48,400",
Bedok,Frankel,Total,Total*,"34,420",
Bedok,Kaki Bukit,Total,Total*,"36,170",
Bedok,Kembangan,Total,Total*,"36,540",
Bedok,Siglap,Total,Total*,"7,300",
Bishan,Bishan East,Total,Total*,"27,620",
Bishan,Marymount,Total,Total*,"29,000",
Bishan,Upper Thomson,Total,Total*,"29,060",
Boon Lay,Liu Fang,Total,Total*,10,
Boon Lay,Samulun,Total,Total*,10,
Boon Lay,Shipyard,Total,Total*,10,
Boon Lay,Tukang,Total,Total*,10,
Bukit Batok,Brickworks,Total,Total*,"27,790",
Bukit Batok,Bukit Batok Central,Total,Total*,"27,230",
Bukit Batok,Bukit Batok East,Total,Total*,"12,380",
Bukit Batok,Bukit Batok South,Total,Total*,"14,660",
Bukit Batok,Bukit Batok West,Total,Total*,"14,600",
Bukit Batok,Gombak,Total,Total*,"9,830",
Bukit Batok,Guilin,Total,Total*,"12,790",
Bukit Batok,Hillview,Total,Total*,"19,660",
Bukit Batok,Hong Kah North,Total,Total*,"25,620",
Bukit Merah,Alexandra Hill,Total,Total*,"13,350",
Bukit Merah,Alexandra North,Total,Total*,"2,830",
Bukit Merah,Bukit Ho Swee,Total,Total*,"13,820",
Bukit Merah,Bukit Merah,Total,Total*,"1,040",
Bukit Merah,City Terminals,Total,Total*,20,
Bukit Merah,Depot Road,Total,Total*,"6,450",
Bukit Merah,Everton Park,Total,Total*,"7,550",
Bukit Merah,Henderson Hill,Total,Total*,"13,010",
Bukit Merah,Kampong Tiong Bahru,Total,Total*,"8,740",
Bukit Merah,Maritime Square,Total,Total*,"4,270",
Bukit Merah,Redhill,Total,Total*,"11,030",
Bukit Merah,Singapore General Hospital,Total,Total*,10,
Bukit Merah,Telok Blangah Drive,Total,Total*,"19,290",
Bukit Merah,Telok Blangah Rise,Total,Total*,"11,830",
Bukit Merah,Telok Blangah Way,Total,Total*,"8,710",
Bukit Merah,Tiong Bahru,Total,Total*,"12,370",
Bukit Merah,Tiong Bahru Station,Total,Total*,"14,860",
Bukit Panjang,Bangkit,Total,Total*,"21,640",
Bukit Panjang,Dairy Farm,Total,Total*,"7,060",
Bukit Panjang,Fajar,Total,Total*,"26,940",
Bukit Panjang,Jelebu,Total,Total*,"30,540",
Bukit Panjang,Nature Reserve,Total,Total*,"3,960",
Bukit Panjang,Saujana,Total,Total*,"25,440",
Bukit Panjang,Senja,Total,Total*,"21,440",
Bukit Timah,Anak Bukit,Total,Total*,"21,820",
Bukit Timah,Coronation Road,Total,Total*,"6,610",
Bukit Timah,Farrer Court,Total,Total*,"6,370",
Bukit Timah,Hillcrest,Total,Total*,"9,740",
Bukit Timah,Holland Road,Total,Total*,"11,360",
Bukit Timah,Leedon Park,Total,Total*,"6,600",
Bukit Timah,Swiss Club,Total,Total*,"5,550",
Bukit Timah,Ulu Pandan,Total,Total*,"11,220",
Central Water Catchment,Central Water Catchment,Total,Total*,-,
Changi,Changi Airport,Total,Total*,0,
Changi,Changi Point,Total,Total*,560,
Changi,Changi West,Total,Total*,"1,240",
Changi Bay,Changi Bay,Total,Total*,-,
Choa Chu Kang,Choa Chu Kang Central,Total,Total*,"22,440",
Choa Chu Kang,Choa Chu Kang North,Total,Total*,"31,290",
Choa Chu Kang,Keat Hong,Total,Total*,"38,360",
Choa Chu Kang,Peng Siang,Total,Total*,"34,130",
Choa Chu Kang,Teck Whye,Total,Total*,"23,880",
Choa Chu Kang,Yew Tee,Total,Total*,"39,890",
Clementi,Clementi Central,Total,Total*,"14,680",
Clementi,Clementi North,Total,Total*,"27,910",
Clementi,Clementi West,Total,Total*,"14,930",
Clementi,Clementi Woods,Total,Total*,"15,890",
Clementi,Faber,Total,Total*,"5,550",
Clementi,Pandan,Total,Total*,10,
Clementi,Sunset Way,Total,Total*,"5,440",
Clementi,Toh Tuck,Total,Total*,20,
Clementi,West Coast,Total,Total*,"9,090",
Downtown Core,Anson,Total,Total*,90,
Downtown Core,Bayfront Subzone,Total,Total*,-,
Downtown Core,Bugis,Total,Total*,940,
Downtown Core,Cecil,Total,Total*,470,
Downtown Core,Central Subzone,Total,Total*,"1,190",
Downtown Core,City Hall,Total,Total*,110,
Downtown Core,Clifford Pier,Total,Total*,0,
Downtown Core,Marina Centre,Total,Total*,10,
Downtown Core,Maxwell,Total,Total*,-,
Downtown Core,Nicoll,Total,Total*,380,
Downtown Core,Phillip,Total,Total*,0,
Downtown Core,Raffles Place,Total,Total*,20,
Downtown Core,Tanjong Pagar,Total,Total*,790,
Geylang,Aljunied,Total,Total*,"41,310",
Geylang,Geylang East,Total,Total*,"29,430",
Geylang,Kallang Way,Total,Total*,40,
Geylang,Kampong Ubi,Total,Total*,"11,210",
Geylang,Macpherson,Total,Total*,"27,160",
Hougang,Defu Industrial Park,Total,Total*,10,
Hougang,Hougang Central,Total,Total*,"4,630",
Hougang,Hougang East,Total,Total*,"24,450",
Hougang,Hougang West,Total,Total*,"44,940",
